"id","D_Code","D_Name","D_Name_MMR","SR_Code","modifiled_by","modifiled_on","active","created_at","updated_at"
"1","MMR001D001","Myitkyina","မြစ်ကြီးနား","MMR001",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"2","MMR001D002","Mohnyin","မိုးညှင်း","MMR001",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"3","MMR001D003","Bhamo","ဗန်းမော်","MMR001",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"4","MMR001D004","Puta-O","ပူတာအို","MMR001",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"5","MMR002D001","Loikaw","လွိုင်ကော်","MMR002",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"6","MMR002D002","Bawlakhe","ဘောလခဲ","MMR002",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"7","MMR003D001","Hpa-An","ဘားအံ","MMR003",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"8","MMR003D002","Myawaddy","မြဝတီ","MMR003",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"9","MMR003D003","Kawkareik","ကော့ကရိတ်","MMR003",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"10","MMR003D004","Hpapun","ဖာပွန်","MMR003",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"11","MMR004D001","Falam","ဖလန်း","MMR004",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"12","MMR004D002","Mindat","မင်းတပ်","MMR004",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"13","MMR004D003","Hakha","ဟားခါး","MMR004",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"14","MMR005D001","Sagaing","စစ်ကိုင်း","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"15","MMR005D002","Shwebo","ရွှေဘို","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"16","MMR005D003","Monywa","မုံရွာ","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"17","MMR005D004","Katha","ကသာ","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"18","MMR005D005","Kale","ကလေး","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"19","MMR005D006","Tamu","တမူး","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"20","MMR005D007","Mawlaik","မော်လိုက်","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"21","MMR005D008","Hkamti","ခန္တီး","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"22","MMR005D009","Yinmabin","ယင်းမာပင်","MMR005",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"23","MMR006D001","Dawei","ထားဝယ်","MMR006",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"24","MMR006D002","Myeik","မြိတ်","MMR006",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"25","MMR006D003","Kawthoung","ကော့သောင်း","MMR006",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"26","MMR007D001","Bago","ပဲခူး","MMR007",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"27","MMR007D002","Taungoo","တောင်ငူ","MMR007",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"28","MMR008D001","Pyay","ပြည်","MMR008",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"29","MMR008D002","Thayarwady","သာယာဝတီ","MMR008",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"30","MMR009D001","Magway","မကွေး","MMR009",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"31","MMR009D002","Minbu","မင်းဘူး","MMR009",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"32","MMR009D003","Thayet","သရက်","MMR009",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"33","MMR009D004","Pakokku","ပခုက္ကူ","MMR009",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"34","MMR009D005","Gangaw","ဂန့်ဂေါ","MMR009",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"35","MMR010D001","Mandalay","မန္တလေး","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"36","MMR010D002","Pyinoolwin","ပြင်ဦးလွင်","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"37","MMR010D003","Kyaukse","ကျောက်ဆည်","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"38","MMR010D004","Myingyan","မြင်းခြံ","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"39","MMR010D005","Nyaung-U","ညောင်ဦး","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"40","MMR010D006","Yamethin","ရမည်းသင်း","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"41","MMR010D007","Meiktila","မိတ္ထီလာ","MMR010",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"42","MMR011D001","Mawlamyine","မော်လမြိုင်","MMR011",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"43","MMR011D002","Thaton","သထုံ","MMR011",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"44","MMR012D001","Sittwe","စစ်တွေ","MMR012",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"45","MMR012D002","Maungdaw","မောင်တော","MMR012",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"46","MMR012D003","Kyaukpyu","ကျောက်ဖြူ","MMR012",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"47","MMR012D004","Thandwe","သံတွဲ","MMR012",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"48","MMR012D005","Mrauk-U","မြောက်ဦး","MMR012",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"49","MMR013D001","Yangon (North)","ရန်ကုန် (မြောက်)","MMR013",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"50","MMR013D002","Yangon (East)","ရန်ကုန် (အရှေ့)","MMR013",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"51","MMR013D003","Yangon (South)","ရန်ကုန် (တောင်)","MMR013",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"52","MMR013D004","Yangon (West)","ရန်ကုန် (အနောက်)","MMR013",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"53","MMR014D001","Taunggyi","တောင်ကြီး","MMR014",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"54","MMR014D002","Loilen","လွိုင်လင်","MMR014",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"55","MMR014D003","Langkho","လင်းခေး","MMR014",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"56","MMR015D001","Lashio","လားရှိုး","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"57","MMR015D002","Muse","မူဆယ်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"58","MMR015D003","Kyaukme","ကျောက်မဲ","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"59","MMR015D004","Kunlong","ကွမ်းလုံ","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"60","MMR015D005","Laukkaing","လောက်ကိုင်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"61","MMR015D006","Hopang","ဟိုပန်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"62","MMR015D007","Matman","မက်မန်း","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"63","MMR015D221","Laukkaing (Kokang SAZ)","လောက်ကိုင်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"64","MMR015D331","Mong Maw (Wa SAD)","မိုင်းမော်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"65","MMR015D332","Wein Kawng (Wein Kao)  (Wa SAD)","၀ိုင်းကောင်","MMR015",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"66","MMR016D001","Kengtung","ကျိုင်းတုံ","MMR016",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"67","MMR016D002","Monghsat","မိုင်းဆတ်","MMR016",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"68","MMR016D003","Tachileik","တာချီလိတ်","MMR016",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"69","MMR016D004","Monghpyak","မိုင်းဖြတ်","MMR016",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"70","MMR016D333","Mong Pawk (Wa SAD)","မိုင်းပေါက်","MMR016",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"71","MMR017D001","Pathein","ပုသိမ်","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"72","MMR017D002","Hinthada","ဟင်္သာတ","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"73","MMR017D003","Myaungmya","မြောင်းမြ","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"74","MMR017D004","Labutta","လပွတ္တာ","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"75","MMR017D005","Maubin","မအူပင်","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"76","MMR017D006","Pyapon","ဖျာပုံ","MMR017",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"77","MMR018D001","Naypyitaw (North)","နေပြည်တော် (မြောက်)","MMR018",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"78","MMR018D002","Naypyitaw (South)","နေပြည်တော် (တောင်)","MMR018",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"79","MMR005D010","Kanbalu","ကန့်ဘလူ","MMR005",NULL,NULL,"1","2023-10-03 17:00:21","2023-10-03 17:00:21"
