"id","SR_Code","D_Code","TS_Code","TS_Name","TS_Name_MMR","modifiled_by","modifiled_on","active","created_at","updated_at"
"1","MMR001","MMR001D001","MMR001001","Myitkyina","မြစ်ကြီးနား",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"2","MMR001","MMR001D001","MMR001002","Waingmaw","ဝိုင်းမော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"3","MMR001","MMR001D001","MMR001003","Injangyang","အင်ဂျန်းယန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"4","MMR001","MMR001D001","MMR001004","Tanai","တနိုင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"5","MMR001","MMR001D001","MMR001005","Chipwi","ချီ​ဖွေ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"6","MMR001","MMR001D001","MMR001006","Tsawlaw","ဆော့လော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"7","MMR001","MMR001D002","MMR001007","Mohnyin","မိုးညှင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"8","MMR001","MMR001D002","MMR001008","Mogaung","မိုးကောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"9","MMR001","MMR001D002","MMR001009","Hpakant","ဖားကန့်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"10","MMR001","MMR001D003","MMR001010","Bhamo","ဗန်းမော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"11","MMR001","MMR001D003","MMR001011","Shwegu","ရွှေကူ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"12","MMR001","MMR001D003","MMR001012","Momauk","မိုးမောက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"13","MMR001","MMR001D003","MMR001013","Mansi","မံစီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"14","MMR001","MMR001D004","MMR001014","Puta-O","ပူတာအို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"15","MMR001","MMR001D004","MMR001015","Sumprabum","ဆွမ်ပရာဘွမ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"16","MMR001","MMR001D004","MMR001016","Machanbaw","မချမ်းဘော",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"17","MMR001","MMR001D004","MMR001017","Nawngmun","နောင်မွန်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"18","MMR001","MMR001D004","MMR001018","Khaunglanhpu","ခေါင်လန်ဖူး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"19","MMR002","MMR002D001","MMR002001","Loikaw","လွိုင်ကော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"20","MMR002","MMR002D001","MMR002002","Demoso","ဒီးမော့ဆို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"21","MMR002","MMR002D001","MMR002003","Hpruso","ဖရူဆို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"22","MMR002","MMR002D001","MMR002004","Shadaw","ရှားတော",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"23","MMR002","MMR002D002","MMR002005","Bawlake","ဘောလခဲ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"24","MMR002","MMR002D002","MMR002006","Hpasawng","ဖားဆောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"25","MMR002","MMR002D002","MMR002007","Mese","မယ်စဲ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"26","MMR003","MMR003D001","MMR003001","Hpa-An","ဘားအံ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"27","MMR003","MMR003D001","MMR003002","Hlaingbwe","လှိုင်းဘွဲ့",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"28","MMR003","MMR003D004","MMR003003","Hpapun","ဖာပွန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"29","MMR003","MMR003D001","MMR003004","Thandaunggyi","သံတောင်ကြီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"30","MMR003","MMR003D002","MMR003005","Myawaddy","မြဝတီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"31","MMR003","MMR003D003","MMR003006","Kawkareik","ကော့ကရိတ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"32","MMR003","MMR003D003","MMR003007","Kyainseikgyi","ကြာအင်းဆိပ်ကြီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"33","MMR004","MMR004D001","MMR004001","Falam","ဖလမ်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"34","MMR004","MMR004D003","MMR004002","Hakha","ဟားခါး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"35","MMR004","MMR004D003","MMR004003","Thantlang","ထန်တလန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"36","MMR004","MMR004D001","MMR004004","Tedim","တီးတိန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"37","MMR004","MMR004D001","MMR004005","Tonzang","တွန်းဇန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"38","MMR004","MMR004D002","MMR004006","Mindat","မင်းတပ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"39","MMR004","MMR004D004","MMR004007","Matupi","မတူပီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"40","MMR004","MMR004D002","MMR004008","Kanpetlet","ကန်ပက်လက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"41","MMR004","MMR004D004","MMR004009","Paletwa","ပလက်ဝ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"42","MMR005","MMR005D001","MMR005001","Sagaing","စစ်ကိုင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"43","MMR005","MMR005D001","MMR005002","Myinmu","မြင်းမူ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"44","MMR005","MMR005D001","MMR005003","Myaung","မြောင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"45","MMR005","MMR005D002","MMR005004","Shwebo","ရွှေဘို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"46","MMR005","MMR005D002","MMR005005","Khin-U","ခင်ဦး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"47","MMR005","MMR005D002","MMR005006","Wetlet","ဝက်လက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"48","MMR005","MMR005D010","MMR005007","Kanbalu","ကန့်ဘလူ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"49","MMR005","MMR005D010","MMR005008","Kyunhla","ကျွန်းလှ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"50","MMR005","MMR005D002","MMR005009","Ye-U","ရေဦး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"51","MMR005","MMR005D002","MMR005010","Tabayin","ဒီပဲယင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"52","MMR005","MMR005D002","MMR005011","Taze","တန့်ဆည်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"53","MMR005","MMR005D003","MMR005012","Monywa","မုံရွာ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"54","MMR005","MMR005D003","MMR005013","Budalin","ဘုတလင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"55","MMR005","MMR005D003","MMR005014","Ayadaw","အရာတော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"56","MMR005","MMR005D003","MMR005015","Chaung-U","ချောင်းဦး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"57","MMR005","MMR005D009","MMR005016","Yinmarbin","ယင်းမာပင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"58","MMR005","MMR005D009","MMR005017","Kani","ကနီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"59","MMR005","MMR005D009","MMR005018","Salingyi","ဆားလင်းကြီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"60","MMR005","MMR005D009","MMR005019","Pale","ပုလဲ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"61","MMR005","MMR005D004","MMR005020","Katha","ကသာ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"62","MMR005","MMR005D004","MMR005021","Indaw","အင်းတော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"63","MMR005","MMR005D004","MMR005022","Tigyaing","ထီးချိုင့်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"64","MMR005","MMR005D004","MMR005023","Banmauk","ဗန်းမောက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"65","MMR005","MMR005D011","MMR005024","Kawlin","ကောလင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"66","MMR005","MMR005D011","MMR005025","Wuntho","ဝန်းသို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"67","MMR005","MMR005D011","MMR005026","Pinlebu","ပင်လည်ဘူး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"68","MMR005","MMR005D005","MMR005027","Kale","ကလေး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"69","MMR005","MMR005D005","MMR005028","Kalewa","ကလေးဝ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"70","MMR005","MMR005D005","MMR005029","Mingin","မင်းကင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"71","MMR005","MMR005D006","MMR005030","Tamu","တမူး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"72","MMR005","MMR005D007","MMR005031","Mawlaik","မော်လိုက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"73","MMR005","MMR005D007","MMR005032","Paungbyin","ဖောင်းပြင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"74","MMR005","MMR005D008","MMR005033","Hkamti","ခန္တီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"75","MMR005","MMR005D008","MMR005034","Homalin","ဟုမ္မလင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"76","MMR005","MMR005D008","MMR005035","Lay Shi","လေရှီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"77","MMR005","MMR005D008","MMR005036","Lahe","လဟယ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"78","MMR005","MMR005D008","MMR005037","Nanyun","နန်းယွန်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"79","MMR006","MMR006D001","MMR006001","Dawei","ထားဝယ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"80","MMR006","MMR006D001","MMR006002","Launglon","လောင်းလုံး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"81","MMR006","MMR006D001","MMR006003","Thayetchaung","သရက်ချောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"82","MMR006","MMR006D001","MMR006004","Yebyu","ရေဖြူ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"83","MMR006","MMR006D002","MMR006005","Myeik","မြိတ်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"84","MMR006","MMR006D002","MMR006006","Kyunsu","ကျွန်းစု",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"85","MMR006","MMR006D002","MMR006007","Palaw","ပုလော",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"86","MMR006","MMR006D002","MMR006008","Tanintharyi","တနင်္သာရီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"87","MMR006","MMR006D003","MMR006009","Kawthoung","ကော့သောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"88","MMR006","MMR006D003","MMR006010","Bokpyin","ဘုတ်ပြင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"89","MMR007","MMR007D001","MMR007001","Bago","ပဲခူး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"90","MMR007","MMR007D001","MMR007002","Thanatpin","သနပ်ပင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"91","MMR007","MMR007D001","MMR007003","Kawa","ကဝ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"92","MMR007","MMR007D001","MMR007004","Waw","ဝေါ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"93","MMR007","MMR007D001","MMR007005","Nyaunglebin","ညောင်လေးပင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"94","MMR007","MMR007D001","MMR007006","Kyauktaga","ကျောက်တံခါး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"95","MMR007","MMR007D001","MMR007007","Daik-U","ဒိုက်ဦး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"96","MMR007","MMR007D001","MMR007008","Shwegyin","ရွှေကျင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"97","MMR007","MMR007D002","MMR007009","Taungoo","တောင်ငူ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"98","MMR007","MMR007D002","MMR007010","Yedashe","ရေတာရှည်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"99","MMR007","MMR007D002","MMR007011","Kyaukkyi","ကျောက်ကြီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"100","MMR007","MMR007D002","MMR007012","Phyu","ဖြူး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"101","MMR007","MMR007D002","MMR007013","Oktwin","အုတ်တွင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"102","MMR007","MMR007D002","MMR007014","Htantabin","ထန်းတပင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"103","MMR008","MMR008D001","MMR008001","Pyay","ပြည်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"104","MMR008","MMR008D001","MMR008002","Paukkhaung","ပေါက်ခေါင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"105","MMR008","MMR008D001","MMR008003","Padaung","ပန်းတောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"106","MMR008","MMR008D001","MMR008004","Paungde","ပေါင်းတည်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"107","MMR008","MMR008D001","MMR008005","Thegon","သဲကုန်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"108","MMR008","MMR008D001","MMR008006","Shwedaung","ရွှေတောင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"109","MMR008","MMR008D002","MMR008007","Thayarwady","သာယာဝတီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"110","MMR008","MMR008D002","MMR008008","Letpadan","လက်ပံတန်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"111","MMR008","MMR008D002","MMR008009","Minhla","မင်းလှ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"112","MMR008","MMR008D002","MMR008010","Okpho","အုတ်ဖို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"113","MMR008","MMR008D002","MMR008011","Zigon","ဇီးကုန်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"114","MMR008","MMR008D002","MMR008012","Nattalin","နတ်တလင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"115","MMR008","MMR008D002","MMR008013","Monyo","မိုးညို",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"116","MMR008","MMR008D002","MMR008014","Gyobingauk","ကြို့ပင်ကောက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"117","MMR009","MMR009D001","MMR009001","Magway","မကွေး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"118","MMR009","MMR009D001","MMR009002","Yenangyaung","ရေနံချောင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"119","MMR009","MMR009D001","MMR009003","Chauk","ချောက်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"120","MMR009","MMR009D001","MMR009004","Taungdwingyi","တောင်တွင်းကြီး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
